标题： 有老哥要上星耀的吗 微信ywj20001016 	 链接：http://tieba.baidu.com//p/5423696443 	 发帖人：稳得一笔 	 发帖时间：09:57 	 回复数量： 2 
标题： qq区优越感爆棚啊 	 链接：http://tieba.baidu.com//p/5381320946 	 发帖人：遇劫者 	 发帖时间：10-20 	 回复数量： 1536 
标题： 微信白银排位！ 	 链接：http://tieba.baidu.com//p/5423759014 	 发帖人：南方少年_i 	 发帖时间：10:30 	 回复数量： 1 
标题： 老。。。。老姐。。。我 	 链接：http://tieba.baidu.com//p/5422383036 	 发帖人：恶杠 	 发帖时间：11-9 	 回复数量： 50 
标题： 周瑜小乔联手坑杀李白，血腥场面不忍直视 	 链接：http://tieba.baidu.com//p/5423761756 	 发帖人：台球少年9 	 发帖时间：10:31 	 回复数量： 0 
标题： 战队收人 	 链接：http://tieba.baidu.com//p/5423720103 	 发帖人：鹿慕溪水 	 发帖时间：10:10 	 回复数量： 31 
标题： 【交友】来带帅气的狐白回家系统:安卓手q擅长位置:木有交友宣 	 链接：http://tieba.baidu.com//p/5423722411 	 发帖人：狐白小... 	 发帖时间：10:11 	 回复数量： 7 
标题： S9赛季这个英雄练好了，稳稳的上至尊星耀没问题！ 	 链接：http://tieba.baidu.com//p/5416291772 	 发帖人：小怪爱恋... 	 发帖时间：11-6 	 回复数量： 8 
标题： 可十级了，累死我了 	 链接：http://tieba.baidu.com//p/5423757420 	 发帖人：花虞5286 	 发帖时间：10:29 	 回复数量： 1 
标题： 等个单身的老哥。打游戏。不干涉生活 	 链接：http://tieba.baidu.com//p/5423733099 	 发帖人：薇妮 	 发帖时间：10:17 	 回复数量： 30 
标题： 王者荣耀：攻速+暴击的铠就是这么嚣张，再+大招真是无人能敌了 	 链接：http://tieba.baidu.com//p/5410371628 	 发帖人：时光催人... 	 发帖时间：11-4 	 回复数量： 58 
标题： 偏要来耀吧找真爱 	 链接：http://tieba.baidu.com//p/5423747566 	 发帖人：熊塾 	 发帖时间：10:24 	 回复数量： 15 
标题： 安卓微信寻找给力的队友上分 	 链接：http://tieba.baidu.com//p/5422205873 	 发帖人：我卖草纸咯 	 发帖时间：11-9 	 回复数量： 10 
标题： 【提问】 	 链接：http://tieba.baidu.com//p/5423754283 	 发帖人：兔兔奶糖 	 发帖时间：10:27 	 回复数量： 6 
标题： 嗨..嗨氏？ 	 链接：http://tieba.baidu.com//p/5421578293 	 发帖人：我乖不乖... 	 发帖时间：11-9 	 回复数量： 119 
标题： 处好友  iso微信 楼主是妹子 	 链接：http://tieba.baidu.com//p/5423752009 	 发帖人：可爱讨人... 	 发帖时间：10:26 	 回复数量： 5 
标题： 闲的没事，给大家推荐一下我自己理解的英雄出装和铭文搭配吧。首 	 链接：http://tieba.baidu.com//p/5421982350 	 发帖人：诗和远方 	 发帖时间：11-9 	 回复数量： 33 
标题： 有没有刷胜率微信群，拉我！ 	 链接：http://tieba.baidu.com//p/5419265288 	 发帖人：兔飛思 	 发帖时间：11-8 	 回复数量： 3 
标题： 【交友】圈子收人 不要非主流 	 链接：http://tieba.baidu.com//p/5419091147 	 发帖人：放回池中... 	 发帖时间：11-8 	 回复数量： 387 
标题： 等个和我一起排位的人我是钻四。  有没有。 我不想一个人排。 	 链接：http://tieba.baidu.com//p/5423734469 	 发帖人：因太萌被... 	 发帖时间：10:17 	 回复数量： 29 
标题： 排位。 	 链接：http://tieba.baidu.com//p/5419687344 	 发帖人：喊择 	 发帖时间：11-8 	 回复数量： 48 
标题： 就很恶心这种为自己菜找借口的人，回家搓*去吧 	 链接：http://tieba.baidu.com//p/5423183767 	 发帖人：矮脚 	 发帖时间：01:24 	 回复数量： 7 
标题： 对于最近很强势的毒奶我有个疑问 	 链接：http://tieba.baidu.com//p/5422681493 	 发帖人：向阳初的... 	 发帖时间：11-9 	 回复数量： 13 
标题： 给你推荐一个很好上省排名的地方 	 链接：http://tieba.baidu.com//p/5423543559 	 发帖人：恋恋恋恋 	 发帖时间：08:11 	 回复数量： 123 
标题： 这么多皮肤，兑换哪个好呢？？？哪个有特效？ 	 链接：http://tieba.baidu.com//p/5419138588 	 发帖人：icl_love 	 发帖时间：11-8 	 回复数量： 5 
标题： 现在露娜都不禁了都禁这些。是真的恶心 	 链接：http://tieba.baidu.com//p/5422584794 	 发帖人：wei七年 	 发帖时间：11-9 	 回复数量： 155 
标题： 今天的我欧气爆棚了么？ 	 链接：http://tieba.baidu.com//p/5402388803 	 发帖人：疯狂的斑马9 	 发帖时间：11-1 	 回复数量： 119 
标题： 你们铭文页都叫什么呀 	 链接：http://tieba.baidu.com//p/5400610681 	 发帖人：山河夫人 	 发帖时间：10-31 	 回复数量： 541 
标题： 王者荣耀求带 	 链接：http://tieba.baidu.com//p/5418222083 	 发帖人：Angle 	 发帖时间：11-7 	 回复数量： 13 
标题： ？？？打扰了请问不网恋的王者荣耀吧怎么走 	 链接：http://tieba.baidu.com//p/5423674949 	 发帖人：闲将风引 	 发帖时间：09:45 	 回复数量： 30 
标题： 王者荣耀：S9还换狩猎很亏！先换这几个铭文，让你领先对面1个大 	 链接：http://tieba.baidu.com//p/5417446413 	 发帖人：狐狸不是... 	 发帖时间：11-7 	 回复数量： 296 
标题： 你明天想过节吗？我不想 	 链接：http://tieba.baidu.com//p/5423753480 	 发帖人：醉夕颜 	 发帖时间：10:27 	 回复数量： 1 
标题： 剑仙克隆模式李白，对面守约：对，就打那个没皮肤的！ 	 链接：http://tieba.baidu.com//p/5397151698 	 发帖人：小怪爱恋... 	 发帖时间：10-29 	 回复数量： 74 
标题： 一进去四个射手 那我也选一个 	 链接：http://tieba.baidu.com//p/5404654765 	 发帖人：凌小川 	 发帖时间：11-2 	 回复数量： 204 
标题： 安卓战队收人，铂金一以上 周活跃2500+ 	 链接：http://tieba.baidu.com//p/5419659044 	 发帖人：爱十里温柔 	 发帖时间：11-8 	 回复数量： 81 
标题： 有么有会玩这游戏的，一打四排没意思啊 	 链接：http://tieba.baidu.com//p/5423747657 	 发帖人：斤平 	 发帖时间：10:24 	 回复数量： 9 
标题： 黄金局拿什么英雄会比较好打些 	 链接：http://tieba.baidu.com//p/5403253140 	 发帖人：龙战天下... 	 发帖时间：11-1 	 回复数量： 493 
标题： 有没有老板给的单子快饿死了 	 链接：http://tieba.baidu.com//p/5421850739 	 发帖人：陆陆c 	 发帖时间：11-9 	 回复数量： 79 
